epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.93765,1.80929,9.02805,3.51913,1.95223,0.19265,0.83333,0.21908,0.1572,0.19265,0.83333,0.21908,0.15535,0.92176,0.49716,3.10638,1.88609,6e-05,6e-05,6e-05
2,3.39423,1.63882,8.29387,3.46391,1.88891,0.22917,1,0.22962,0.16136,0.22917,1,0.22962,0.16265,0.97602,0.42546,3.29357,1.93597,0.000137228,0.000137228,0.000137228
3,4.941,1.52979,7.13536,3.32134,1.83171,0.04347,0.25,0.05439,0.03265,0.04347,0.25,0.05439,0.03277,1.14218,0.36715,25.8956,2.21714,0.000211288,0.000211288,0.000211288
4,6.46507,0.79948,1.36827,1.52784,1.22635,0.15596,0.91667,0.1575,0.08199,0.15596,0.91667,0.1575,0.06129,1.09858,1.37746,16.894,1.78886,0.00028218,0.00028218,0.00028218
5,8.95755,0.60295,0.51325,0.92979,1.12012,0.642,1,0.83645,0.31809,0.642,1,0.83645,0.27265,1.87238,2.89015,6.02879,2.64203,0.000349904,0.000349904,0.000349904
6,10.7309,0.55137,0.35156,0.82464,1.02417,0.57339,0.95833,0.75142,0.61551,0.57339,0.95833,0.75142,0.61391,0.59001,0.29068,5.10673,1.16614,0.00041446,0.00041446,0.00041446
7,12.3628,0.57802,0.28401,0.70739,1.0558,0.6,1,0.77088,0.5486,0.6,1,0.77088,0.53832,0.83767,0.28804,15.0675,1.69388,0.000475848,0.000475848,0.000475848
8,13.8956,0.51284,0.30745,0.61298,0.98467,0.8125,0.54167,0.74867,0.29953,0.8125,0.54167,0.74867,0.30123,2.09573,0.33904,7.71151,3.32551,0.000534068,0.000534068,0.000534068
9,15.4574,0.60168,0.3691,0.56212,1.02365,0.24516,0.75,0.34021,0.10427,0.24516,0.75,0.34021,0.10745,2.65907,0.36362,7.88814,3.74202,0.00058912,0.00058912,0.00058912
10,17.1023,0.54408,0.29896,0.57188,1.05278,0.07036,0.20192,0.03145,0.00374,0.07036,0.20192,0.03036,0.00351,4.01016,0.72517,13.285,5.15203,0.000641004,0.000641004,0.000641004
11,18.6663,0.56732,0.32328,0.60017,1.02523,0.09021,0.58333,0.08605,0.02413,0.08498,0.66667,0.08313,0.02207,2.51106,1.06027,13.3086,3.64162,0.00068972,0.00068972,0.00068972
12,20.2808,0.56279,0.26515,0.5436,1.04863,0.15331,0.625,0.1782,0.06834,0.14421,0.58333,0.15526,0.048,2.08707,2.3851,7.16417,2.56946,0.000735268,0.000735268,0.000735268
13,21.8147,0.5783,0.2806,0.58547,1.02449,0.26597,0.375,0.30399,0.05927,0.13547,0.29167,0.07606,0.01418,2.69372,5.2375,7.20375,3.48814,0.000777648,0.000777648,0.000777648
14,23.3613,0.54475,0.33659,0.53592,1.02555,0.22173,0.41667,0.18286,0.06582,0.22173,0.41667,0.18309,0.05569,2.53038,1.65002,3.7941,3.22583,0.00081686,0.00081686,0.00081686
15,24.815,0.60289,0.23633,0.53217,1.05206,0.08403,0.45833,0.06558,0.01749,0.07639,0.41667,0.04958,0.01198,3.04639,2.31046,8.03581,3.7612,0.000852904,0.000852904,0.000852904
